routeID,timestamp,stopName,routeShortName,serviceDay,scheduledArrival,arrivalDelay,distanceFromStart,stopsTotal
VHJpcDpIU0w6MjE0N05fMjAyMjAyMTFfTWFfMV8wNTEw,1644808341.5590675,H1234,147N,1644789600,18660,117,1,31
VHJpcDpIU0w6NDQxMV8yMDIyMDIxNF9NYV8yXzA0NDU=,1644808387.7046385,H1914,411,1644789600,18660,124,27,30
VHJpcDpIU0w6MTAyMV8yMDIyMDIxMV9NYV8xXzA1MTE=,1644808418.4765055,H1234,21,1644789600,18720,73,1,15
VHJpcDpIU0w6MjEzNE5fMjAyMjAyMTFfTWFfMV8wNTEz,1644808433.866938,H1234,134N,1644789600,18840,0,1,35
VHJpcDpIU0w6MjEzNE5fMjAyMjAyMTFfTWFfMV8wNTEz,1644808541.6351829,H1234,134N,1644789600,18840,105,1,35
VHJpcDpIU0w6MjExMk5fMjAyMjAyMTFfTWFfMV8wNTEw,1644808649.6650944,H1025,112N,1644789600,18960,107,5,44
VHJpcDpIU0w6NDQzMV8yMDIyMDIxNF9NYV8xXzA1MTc=,1644808834.3737586,H1911,431,1644789600,19200,32,1,37
VHJpcDpIU0w6MTUwMF8yMDIyMDIxMV9NYV8xXzA0NTQ=,1644808927.69662,H1379,500,1644789600,19260,30,19,27
VHJpcDpIU0w6MTAyNV8yMDIyMDIxMV9NYV8yXzA1MDQ=,1644809004.5795896,H1231,25,1644789600,19320,111,19,22
VHJpcDpIU0w6MTAyMl8yMDIyMDIxMV9NYV8xXzA1MjU=,1644809004.5798438,H1025,22,1644789600,20160,0,9,18
VHJpcDpIU0w6MTAyMl8yMDIyMDIxMV9NYV8xXzA1MjU=,1644809066.154624,H1025,22,1644789600,20160,0,9,18
VHJpcDpIU0w6MTA0MF8yMDIyMDIxMV9NYV8xXzA1MjE=,1644809081.5150049,H1911,40,1644789600,19440,19,1,24
VHJpcDpIU0w6MTAyMl8yMDIyMDIxMV9NYV8xXzA1MjU=,1644809096.8595335,H1025,22,1644789600,20160,0,9,18
VHJpcDpIU0w6MTAyMV8yMDIyMDIxMV9NYV8yXzA1MjY=,1644809159.082519,H1025,21,1644789600,19560,-56,0,16
VHJpcDpIU0w6MjIzNU5fMjAyMjAyMTFfTWFfMl8wNDI4,1644809359.2733035,H1914,235N,1644789600,19680,80,63,66
VHJpcDpIU0w6NDQxMV8yMDIyMDIxNF9NYV8xXzA1Mjc=,1644809405.5093513,H1911,411,1644789600,19800,36,1,29
VHJpcDpIU0w6MTAyMV8yMDIyMDIxMV9NYV8xXzA1MzA=,1644809420.8971007,H1234,21,1644789600,19920,0,1,15
VHJpcDpIU0w6MjQzNl8yMDIyMDIxNF9NYV8yXzA0NDg=,1644809451.659841,H1914,436,1644789600,19740,114,44,47
VHJpcDpIU0w6MjQzNktfMjAyMjAyMTRfTWFfMV8wNTMy,1644809482.4392755,H1911,436K,1644789600,20100,0,1,45
VHJpcDpIU0w6MTAyMF8yMDIyMDIxMV9NYV8yXzA1MzI=,1644809482.439364,H1210,20,1644789600,21600,0,21,26
VHJpcDpIU0w6MTAzMF8yMDIyMDIxMV9NYV8yXzA1NDA=,1644809482.4394357,H1210,30,1644789600,23340,0,35,40
